,mat_time,interest_rate_time,gdp_time,uer_time,FICO_orig_time,LTV,HPI,balance,gdp,payoff_time,investor_orig_time,default_time,gdp
87,mat_time_G2,interest_rate_time_G1,gdp_time_G1,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G2,gdp_time_pos,1,0,0,gdp_time_pos
88,mat_time_G2,interest_rate_time_G2,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G2,gdp_time_pos,1,0,0,gdp_time_pos
89,mat_time_G2,interest_rate_time_G1,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G2,gdp_time_pos,1,0,0,gdp_time_pos
90,mat_time_G2,interest_rate_time_G1,gdp_time_G2,uer_time_G1,FICO_orig_time_G2,LTV_G1,HPI_G3,balance_G2,gdp_time_pos,1,0,0,gdp_time_pos
91,mat_time_G2,interest_rate_time_G2,gdp_time_G1,uer_time_G1,FICO_orig_time_G1,LTV_G2,HPI_G2,balance_G3,gdp_time_pos,1,0,0,gdp_time_pos
92,mat_time_G2,interest_rate_time_G2,gdp_time_G1,uer_time_G1,FICO_orig_time_G1,LTV_G2,HPI_G2,balance_G3,gdp_time_pos,1,0,0,gdp_time_pos
93,mat_time_G2,interest_rate_time_G1,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G1,gdp_time_pos,0,0,0,gdp_time_pos
94,mat_time_G2,interest_rate_time_G2,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G3,gdp_time_pos,1,0,0,gdp_time_pos
95,mat_time_G2,interest_rate_time_G1,gdp_time_G1,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G3,gdp_time_pos,0,0,1,gdp_time_pos
96,mat_time_G2,interest_rate_time_G2,gdp_time_G1,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G2,gdp_time_pos,1,0,0,gdp_time_pos
97,mat_time_G2,interest_rate_time_G2,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G2,gdp_time_pos,0,0,1,gdp_time_pos
98,mat_time_G2,interest_rate_time_G2,gdp_time_G1,uer_time_G1,FICO_orig_time_G2,LTV_G2,HPI_G2,balance_G3,gdp_time_pos,1,0,0,gdp_time_pos
99,mat_time_G2,interest_rate_time_G2,gdp_time_G1,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G3,gdp_time_pos,0,0,1,gdp_time_pos
100,mat_time_G2,interest_rate_time_G2,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G3,gdp_time_pos,1,0,0,gdp_time_pos
